work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,residencia_iso3
2025.0,MI,FT,Data Engineer,158800,USD,158800,AU,0,AU,M,AUS
2025.0,MI,FT,Data Engineer,139200,USD,139200,AU,0,AU,M,AUS
2025.0,EN,FT,Data Engineer,90000,USD,90000,US,0,US,M,USA
2025.0,EN,FT,Data Engineer,80000,USD,80000,US,0,US,M,USA
2025.0,MI,FT,Data Engineer,54785,GBP,69348,GB,0,GB,M,GBR
2025.0,MI,FT,Data Engineer,42180,GBP,53392,GB,0,GB,M,GBR
2025.0,SE,FT,Data Engineer,104000,USD,104000,US,0,US,M,USA
2025.0,SE,FT,Data Engineer,72800,USD,72800,US,0,US,M,USA
2025.0,MI,FT,Data Engineer,124000,USD,124000,US,0,US,M,USA
2025.0,MI,FT,Data Engineer,77000,USD,77000,US,0,US,M,USA
2025.0,MI,FT,Data Engineer,203000,USD,203000,US,0,US,M,USA
2025.0,MI,FT,Data Engineer,123000,USD,123000,US,0,US,M,USA
2025.0,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M,USA
2025.0,SE,FT,Data Engineer,135000,USD,135000,US,0,US,M,USA
2025.0,SE,FT,Data Engineer,280500,USD,280500,US,0,US,M,USA
2025.0,SE,FT,Data Engineer,204000,USD,204000,US,0,US,M,USA
2025.0,MI,FT,Data Engineer,203000,USD,203000,US,0,US,M,USA
2025.0,MI,FT,Data Engineer,123000,USD,123000,US,0,US,M,USA
2025.0,MI,FT,Data Engineer,175400,USD,175400,US,0,US,M,USA
2025.0,MI,FT,Data Engineer,106300,USD,106300,US,0,US,M,USA
2025.0,SE,FT,Data Engineer,135000,USD,135000,US,100,US,M,USA
2025.0,SE,FT,Data Engineer,101250,USD,101250,US,100,US,M,USA
2025.0,SE,FT,Data Engineer,193820,USD,193820,US,100,US,M,USA
2025.0,SE,FT,Data Engineer,140960,USD,140960,US,100,US,M,USA
2025.0,MI,FT,Data Engineer,143000,USD,143000,US,0,US,M,USA
2025.0,MI,FT,Data Engineer,77000,USD,77000,US,0,US,M,USA
2025.0,MI,FT,Data Engineer,113000,USD,113000,US,0,US,M,USA
2025.0,MI,FT,Data Engineer,74000,USD,74000,US,0,US,M,USA
2025.0,SE,FT,Data Engineer,125000,USD,125000,US,0,US,M,USA
2025.0,SE,FT,Data Engineer,90000,USD,90000,US,0,US,M,USA
2025.0,SE,FT,Data Engineer,134800,USD,134800,US,0,US,L,USA
2025.0,SE,FT,Data Engineer,80700,USD,80700,US,0,US,L,USA
2025.0,SE,FT,Data Engineer,295000,USD,295000,US,0,US,M,USA
2025.0,SE,FT,Data Engineer,227000,USD,227000,US,0,US,M,USA
2025.0,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,USA
2025.0,SE,FT,Data Engineer,110000,USD,110000,US,0,US,M,USA
2025.0,SE,FT,Data Engineer,185000,USD,185000,US,100,US,M,USA
2025.0,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M,USA
2025.0,SE,FT,Data Engineer,254500,USD,254500,US,0,US,M,USA
2025.0,SE,FT,Data Engineer,139500,USD,139500,US,0,US,M,USA
2025.0,SE,FT,Data Engineer,200000,USD,200000,US,0,US,M,USA
2025.0,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M,USA
2025.0,MI,FT,Data Engineer,95000,USD,95000,US,100,US,M,USA
2025.0,MI,FT,Data Engineer,92352,USD,92352,US,100,US,M,USA
2025.0,SE,FT,Data Engineer,197300,USD,197300,US,0,US,M,USA
2025.0,SE,FT,Data Engineer,118400,USD,118400,US,0,US,M,USA
2025.0,MI,FT,Data Engineer,113000,USD,113000,CA,0,CA,M,CAN
2025.0,MI,FT,Data Engineer,90488,USD,90488,CA,0,CA,M,CAN
2025.0,MI,FT,Data Engineer,196900,USD,196900,US,0,US,M,USA
2025.0,MI,FT,Data Engineer,179002,USD,179002,US,0,US,M,USA
2025.0,SE,FT,Data Engineer,235400,USD,235400,US,0,US,M,USA
2025.0,SE,FT,Data Engineer,199234,USD,199234,US,0,US,M,USA
2025.0,SE,FT,Data Engineer,59476,GBP,75286,GB,0,GB,M,GBR
2025.0,SE,FT,Data Engineer,46731,GBP,59153,GB,0,GB,M,GBR
2025.0,SE,FT,Data Engineer,215000,USD,215000,US,100,US,M,USA
2025.0,SE,FT,Data Engineer,166000,USD,166000,US,100,US,M,USA
2025.0,SE,FT,Data Engineer,370300,USD,370300,US,0,US,M,USA
